File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 10513905 (98.41%), 0 (0.00%), 169626 (1.59%), 0 (0.00%), 0 (0.00%), 883 (0.01%), 2 (0.00%), 10683534 (100.00%), 10683536
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
attention_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
mlp_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
mlp_row,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,inf,0.000000,10683536.012000
attention_column,test1,0.001000,0.001000,0.001000,76.420000,0.000000,0.000000,76.420000,613.386536,306.693268,0.000000,-nan,0.000000,0.000000,-nan,0.000000,10683536.012000
